,log_dir,frame_per_second,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,crash_sidewalk_rate,crash_vehicle_rate,idle_rate,speed_km_h,max_step_rate,success_rate,episode_reward,episode_length
0,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,311,-0.002122546127961519,2.8529757181803386,3482.8574303260216,1741.4265942304562,256.718362006163,-15.978464126586914,0.9998396360721343,20000,0,0,64.17729544639587,0.01925,0.0,0.0,0.7996307518240324,,,,
1,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,372,-0.0009499102007024564,2.9043279137366858,1253.4923186620076,626.7452071886796,121.2272511940736,-4.9295196533203125,0.9994120375468181,40000,10,1,107.50496816635132,0.012733333333333333,0.0,0.0,0.809950787230057,1.0,0.0,-2609.365911197662,3000.0
2,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,399,-0.00040482973548559804,2.9060394522471307,16902.77322340745,8451.38623046875,4298.799753355369,-60.235111236572266,0.9998629423288199,60000,20,2,150.28678250312805,0.049133333333333334,0.0,0.0,0.785779749340142,1.0,0.0,-4973.239528512955,3000.0
3,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,422,-0.00029944539314900073,2.904145123102726,5122.686208245693,2561.342801529322,1026.6800397041516,-18.183759689331055,1.000058273627208,80000,20,3,189.4837291240692,0.053,0.0,0.0,0.7624377923633999,1.0,0.0,-4973.239528512955,3000.0
4,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,433,-0.0006543893731223085,2.942522447231488,3613.8387389354216,1806.9187126746544,619.8976127575605,-7.850256443023682,0.999903231782791,100000,30,4,230.7413375377655,0.030966666666666667,0.0,0.0,0.7489422853230439,1.0,0.0,-4838.569287459056,3000.0
5,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,441,-0.0005558142322115601,2.9447242278319137,6873.944481795874,3436.9716826610074,1482.9965526678623,-21.20234489440918,0.999905160910044,120000,40,5,271.8838551044464,0.0255,0.0,0.0,0.7565288788911035,1.0,0.0,-4577.604343819618,3000.0
6,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,451,-0.0030242537345307376,2.9141410225476974,4509.731692896134,2254.8628174610626,737.4888291579026,-10.976372718811035,0.9996014465888341,140000,40,6,309.8515603542328,0.035866666666666665,0.0,0.0,0.7381003213273836,1.0,0.0,-4577.604343819618,3000.0
7,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,450,-0.0006418280106467696,2.89350574077704,334.271693779872,167.13520570351528,409.2651129349684,12.280838966369629,0.9998857703728553,160000,50,7,354.9485192298889,0.0162,0.0,0.0,0.7210282204543047,1.0,0.0,-4238.533270931244,3000.0
8,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,454,-0.0005027703039395886,2.8759527551822175,10003.425024101061,5001.712022986779,2530.419740266066,-28.838708877563477,0.9999584704637527,180000,60,8,396.429895401001,0.033433333333333336,0.0,0.0,0.7041118283806945,1.0,0.0,-4363.783961486816,3000.0
9,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,462,-0.0007767639081113232,2.8643297834274097,4229.382299335186,2114.690369982597,897.1780034970014,-5.277065753936768,0.999953102454161,200000,60,9,432.4828369617462,0.043133333333333336,0.0,0.0,0.6889404921016543,1.0,0.0,-4363.783961486816,3000.0
10,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,470,-0.0016837441875862005,2.858031009710752,6158.317802546575,3079.157220771985,1451.533831982735,-13.14516544342041,1.000307033230097,220000,70,10,467.5578122138977,0.042633333333333336,0.0,0.0,0.6653197228239732,1.0,0.0,-4650.793040766035,3000.0
11,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,472,-0.0004858224085556009,2.8571149037434505,1477.7673711532202,738.8831990364271,517.1471854429979,11.526938438415527,1.0006421462083475,240000,80,11,508.17107939720154,0.006566666666666667,0.0,0.0,0.6527329838570727,1.0,0.0,-4189.975642502308,3000.0
12,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,475,-0.0007781839332519434,2.8523071515254483,528.1284044950436,264.0634229574448,294.3958202533233,11.987533569335938,1.0000833392907411,260000,80,12,546.370689868927,0.008233333333333334,0.0,0.0,0.6319039844319155,1.0,0.0,-4189.975642502308,3000.0
13,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,478,-0.0007359445557738535,2.8258206862669724,320.1666266416892,160.08257621068222,274.0174199593373,12.331331253051758,0.9995729194237636,280000,90,13,585.5721740722656,0.003966666666666667,0.0,0.0,0.6332668381013679,1.0,0.0,-3788.5415774557327,3000.0
14,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,484,-0.001344475284135208,2.823441138634315,2053.6798599634417,1026.8385837652745,431.0720115612715,2.3971760272979736,0.9997654420443071,300000,100,14,619.4851732254028,0.008133333333333333,0.0,0.0,0.6331532956982269,1.0,0.0,-3529.95451300621,3000.0
15,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,491,-0.0005339009206718168,2.8201892189490487,6.537795076614771,3.268363670247774,93.60290268239302,10.228068351745605,1.0001063852738112,320000,100,15,651.4001741409302,0.008133333333333333,0.0,0.0,0.6160700359103408,1.0,0.0,-3529.95451300621,3000.0
16,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,493,1.727513049562008e-05,2.82441605421213,1035.359395543123,517.6797126586621,245.7466362684201,4.955935478210449,0.9998977438761638,340000,110,16,689.5649883747101,0.0036,0.0,0.0,0.6001740499535282,1.0,0.0,-3321.6498459529876,3000.0
17,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,494,-0.00042974439521248527,2.8193818838168414,14.694762579370767,7.346951549595747,75.5917734451783,8.875858306884766,0.9997505983481041,360000,120,17,728.528724193573,0.0,0.0,0.0,0.6007399650286158,1.0,0.0,-2586.6191543579102,3000.0
18,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,499,-0.00026972844229581266,2.831699068424029,1193.4432629316282,596.7213639088166,209.41838679191395,0.274490624666214,1.0000361454792512,380000,120,18,761.0907003879547,0.0049,0.0,0.0,0.6109010692705685,1.0,0.0,-2586.6191543579102,3000.0
19,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,503,-0.0005505816894583404,2.837054491043091,1175.6904891380898,587.8446904011262,226.28992378039237,-0.11760761588811874,0.9997795816415396,400000,130,19,794.3846995830536,0.010533333333333334,0.0,0.0,0.6089841984802303,1.0,0.0,-2286.274861316681,3000.0
20,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,507,-0.0003331959350571896,2.8718312489680753,23.97384187579155,11.986587682098914,44.30876262554756,6.446382999420166,1.0002069011712686,420000,140,20,827.8642783164978,0.00013333333333333334,0.0,0.0,0.6026508807781343,1.0,0.0,-1907.4823653411866,3000.0
21,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,511,-0.001520200974893016,2.87308142552009,1.2121916403755164,0.604575614989377,15.06234304293608,4.380426406860352,0.9985573914570686,440000,140,21,859.9342782497406,0.0,0.0,0.0,0.6057598300869389,1.0,0.0,-1907.4823653411866,3000.0
22,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,514,-0.00047055715441297836,2.855208712357741,4.554889956957255,2.276974412989922,20.796118089021782,4.308694839477539,1.0000864161894871,460000,150,22,893.5832772254944,0.0,0.0,0.0,0.6363414524192116,1.0,0.0,-1617.7776425457,3000.0
23,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,517,-0.00022324614901429949,2.841380212245843,445.9978177694174,222.9986852725347,102.28982630020533,1.850508213043213,0.9999962302354666,480000,160,23,927.5818107128143,0.0018666666666666666,0.0,0.0,0.6462799620959873,1.0,0.0,-1144.9330841350557,3000.0
24,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,521,-0.0013574169309905325,2.840244602545714,0.5428570649180657,0.27007111560386154,7.195509999226301,2.513810157775879,1.0002335767715405,500000,160,24,959.5058534145355,0.0018666666666666666,0.0,0.0,0.6425043239743348,1.0,0.0,-1144.9330841350557,3000.0
25,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,523,-0.00016174670398378603,2.837888023792169,267.4642630479275,133.73196887985253,76.50476620441827,1.4231271743774414,1.0000972500978371,520000,170,25,993.8918099403381,0.0013,0.0,0.0,0.6614414981878881,1.0,0.0,-525.236641664505,3000.0
26,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,525,-0.00022827934694643587,2.8525980600943934,2.641597328698024,1.3205703807755922,13.269415613015493,2.8638033866882324,0.9997971144242165,540000,180,26,1027.6838505268097,0.0,0.0,0.0,0.6634285968689912,1.0,0.0,-426.66716690063475,3000.0
27,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,527,-0.002413533347993134,2.823308766193879,0.24806458037824203,0.1216187569951543,3.306926287405002,1.3472633361816406,1.000826744697033,560000,180,27,1060.726811170578,0.0,0.0,0.0,0.6618757453940767,1.0,0.0,-426.66716690063475,3000.0
28,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,529,-0.0004055054198640088,2.8071314032261188,0.7603847393336204,0.3797868638896407,4.72334039578071,1.5726983547210693,1.0000373634008262,580000,190,28,1094.6629309654236,0.0,0.0,0.0,0.6655335959985075,1.0,0.0,-366.8172905540466,3000.0
29,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,531,-0.00022341335231127837,2.7814720111015516,1.9553007802520044,0.9774269797433264,7.507154104342828,1.7586878538131714,0.9999094104155516,600000,200,29,1128.3289341926575,3.3333333333333335e-05,0.0,0.0,0.6707724080881287,1.0,0.0,-244.86984088897705,3000.0
30,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,534,-0.0019263412564610824,2.777127693249629,0.08261255855695941,0.03937993773247282,2.2607752790817846,0.9558051824569702,0.9997359388913863,620000,200,30,1160.2369329929352,3.3333333333333335e-05,0.0,0.0,0.6611951469635611,1.0,0.0,-244.86984088897705,3000.0
31,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,536,-0.001526665817707395,2.7670758122052903,0.446612561494112,0.2217796162642443,3.718111232114144,1.2457607984542847,0.9996898696208611,640000,210,31,1193.816969871521,0.0,0.0,0.0,0.6745762624843014,1.0,0.0,-190.13729771614075,3000.0
32,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,537,-6.036957105000814e-06,2.7672344739620502,123.06976042130054,61.534874273225284,39.95748680249238,0.47170811891555786,0.9999851793050766,660000,220,32,1227.589970111847,0.0006666666666666666,0.0,0.0,0.7436239721863083,1.0,0.0,-198.42342288017272,3000.0
33,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,539,-0.006814914884177061,2.777108503304995,0.050363835083464016,0.018367002862028012,1.4642090475712066,0.5625379085540771,1.0003913803742481,680000,220,33,1259.4739708900452,0.0006666666666666666,0.0,0.0,0.7803190715058481,1.0,0.0,-198.42342288017272,3000.0
34,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,541,-0.005362492564540261,2.717873584612822,0.1702531757263037,0.079764095084885,2.1733653330650085,0.7966477274894714,1.0007220968222006,700000,230,34,1293.2469265460968,0.0,0.0,0.0,0.8628129782321683,1.0,0.0,-37.95849662780762,3000.0
35,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,542,-0.00838834300565605,2.6166551269017733,0.14752428500602643,0.06537379877961193,2.562412061637793,1.0534558296203613,0.9994603918148921,720000,240,35,1326.8519287109375,0.0,0.0,0.0,0.9888326316796252,1.0,0.0,-31.673325109481812,3000.0
36,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,544,-0.018815794004760206,2.6305890541810255,0.07195745539397766,0.017162934662207054,1.970449950068425,0.703690230846405,0.9987372800325736,740000,240,36,1359.1489698886871,0.0,0.0,0.0,1.176839221056071,1.0,0.0,-31.673325109481812,3000.0
37,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,545,-0.022456747531078947,2.5348467560914845,0.17015031233238867,0.06261840806885934,2.4147981538222387,0.9443169236183167,1.0004603347717187,760000,250,37,1393.3315267562866,0.0,0.0,0.0,1.6239992333406756,1.0,0.0,-23.276608934402464,3000.0
38,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,546,-0.0009644640854392678,2.5274225604839815,102.56822542701012,51.283148146554446,27.989048762810537,0.3693499267101288,1.000376153527162,780000,260,38,1427.9526183605194,0.0007,0.0,0.0,2.305748612799561,1.0,0.0,9.915110180427082,3000.0
39,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,547,-0.0011911505122836202,2.569968255360921,147.64463036671663,73.82112408677737,30.122224618838384,-0.09401395916938782,0.9995814178998653,800000,260,39,1460.2285747528076,0.0015666666666666667,0.0,0.0,2.7087907572490715,1.0,0.0,9.915110180427082,3000.0
40,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,548,-8.364245056723937e-05,2.5474761522733247,2338.8715835510156,1169.435706277994,206.54506532106643,-4.120882987976074,0.9999927396193529,820000,270,40,1495.2131633758545,0.005433333333333333,0.0,0.0,2.9645299305208597,1.0,0.0,-33.2783386183253,3000.0
41,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,548,-0.0008625816255330276,2.521079001365564,444.5927266353216,222.29550059453035,79.09328071643145,0.09517969936132431,1.0003592750200858,840000,280,41,1531.427746772766,0.0019666666666666665,0.0,0.0,3.181669314483394,1.0,0.0,-39.97507925658801,3000.0
42,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,549,-0.0023103307672919563,2.389674559006324,49.48723353743553,24.741306527302815,24.44034765454439,1.010588526725769,0.9989582632596676,860000,280,42,1564.1327509880066,0.0009,0.0,0.0,3.030439179536111,1.0,0.0,-39.97507925658801,3000.0
43,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,550,-0.0013115952015281297,2.4253296885734947,1156.4802175038901,578.2387986369622,174.64089464040902,-1.6348180770874023,0.9997135890600009,880000,290,43,1599.1177914142609,0.0031666666666666666,0.0,0.0,3.5299608434753393,1.0,0.0,-62.80345161959582,3000.0
44,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,550,-0.003809738313504614,2.3707702652001994,235.24021915289072,117.61629970990694,66.469552952204,0.6509764790534973,1.0000707385631709,900000,300,44,1634.8648364543915,0.0019333333333333333,0.0,0.0,3.6242982608824397,1.0,0.0,-64.69563175622753,3000.0
45,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,551,-0.0022413815413482295,2.4403254139117707,1103.5964887227767,551.7960031631666,228.04176930158567,-2.542781352996826,0.999676956427403,920000,300,45,1668.3157987594604,0.004566666666666667,0.0,0.0,4.049974044457247,1.0,0.0,-64.69563175622753,3000.0
46,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,551,-0.007135138099487776,2.3047902495433124,6.916339392234118,3.4510345546863017,14.487972705639326,1.6606619358062744,0.9998344383942775,940000,310,46,1703.0758390426636,0.0021333333333333334,0.0,0.0,3.9117720323389666,1.0,0.0,-88.83474684889579,3000.0
47,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,552,-0.006596881680590554,2.2720587320816823,3.0388147592544557,1.512810508028055,9.75933546546178,2.307950735092163,0.9989154627689949,960000,320,47,1738.940798997879,0.0,0.0,0.0,4.368211543551319,1.0,0.0,-46.82713771326167,3000.0
48,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,552,-0.01222959537900841,2.1950127427394572,3.4892020659568983,1.7323714452676284,9.712570852652574,2.6076738834381104,0.9992674365257606,980000,320,48,1772.6248033046722,3.3333333333333335e-05,0.0,0.0,6.002279303822751,1.0,0.0,-46.82713771326167,3000.0
49,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,553,-0.00486770915106321,2.1086428021773314,13.70263502292144,6.846449812406148,21.43717623765652,3.2471065521240234,0.9999088712227651,1000000,330,49,1808.2133605480194,0.0003,0.0,0.0,9.042901356577225,1.0,0.0,10.854874702888447,3000.0
50,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,552,-0.00017236044140866934,2.092021050208654,21485.154126602563,10742.576907113882,2364.8542376004734,-26.832427978515625,0.999646726785562,1020000,340,50,1845.1575593948364,0.025433333333333332,0.0,3.3333333333333335e-05,13.115278261304729,0.99,0.0,-269.9317050337806,2996.86
51,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,553,-0.0027489982408065443,2.03073591482945,68.61341581833668,34.30395916180733,79.42398508206392,9.001716613769531,0.9997757430259998,1040000,340,51,1879.4645187854767,0.022833333333333334,0.0,3.3333333333333335e-05,15.80856637121807,0.99,0.0,-269.9317050337806,2996.86
52,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,553,-0.004283065104988428,1.9245912412802377,88.17976896946247,44.085601535210245,69.94645301623223,8.342792510986328,0.9997905142032183,1060000,350,52,1916.2975187301636,0.0012,0.0,0.0,17.866266454297506,0.99,0.0,-158.71782521979222,2996.86
53,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,552,-0.0035438128953011565,1.873559562365214,789.2299587249756,394.61143692212227,202.80974662976388,5.749300956726074,0.9999457906454038,1080000,360,53,1954.1345233917236,0.004733333333333333,0.0,0.0,22.907938714194902,0.99,0.0,-49.0207154888439,2996.86
54,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,553,-0.0011776695574203936,1.798918188840915,2134.013507578923,1067.0055751947257,372.0814081485455,7.394339084625244,0.9995773725784742,1100000,360,54,1988.6015594005585,0.0079,0.0,0.0,27.554793098482186,0.99,0.0,-49.0207154888439,2996.86
55,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,550,-0.0019650574039238003,1.7243205836186042,188.0299434368427,94.01300673362536,233.95217457795755,10.336709022521973,0.9995617615870941,1120000,370,55,2033.9202947616577,0.0028,0.0,0.0,31.017650533480033,0.9,0.09,161.10352160429505,2972.29
56,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,548,-0.002724076058261861,1.6713899636879945,128.67014146462466,64.33234648093199,216.9460746728457,10.584939002990723,0.9998962811934642,1140000,380,56,2079.6276767253876,0.0014,0.0,0.0,34.33184868391381,0.8,0.19,369.5212349493997,2907.84
57,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,545,-0.0034790141115454624,1.6007586239240108,107.79511355375632,53.89407757734641,191.8311733380342,9.416537284851074,0.9989804685879976,1160000,390,57,2125.2145476341248,0.0014666666666666667,0.0,0.0,35.21474419724659,0.7,0.29,593.4209007085536,2829.69
58,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,543,-0.0015168371358110259,1.52174075230574,205.64756032503567,102.82226312832955,283.2120494182293,10.196572303771973,0.999940722493025,1180000,400,58,2170.916563510895,0.0026,0.0,0.0,40.871325491207884,0.6,0.39,787.5139368390458,2719.25
59,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,541,-0.0011361101672101098,1.4398102700710296,389.8723007495587,194.93501384930732,311.14177875274265,9.352778434753418,1.0004973772244576,1200000,410,59,2218.008570432663,0.0038666666666666667,0.0,0.0,46.46566059249473,0.5,0.49,1000.3389196693438,2590.7
60,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,537,-0.0004027568884432698,1.4494170023844792,4556.157925023788,2278.078572806334,941.7281378330329,1.2321234941482544,1.0001349005179527,1220000,425,60,2269.139276266098,0.0094,0.0,3.3333333333333335e-05,48.27490415304792,0.35,0.62,1135.4789565401366,2377.28
61,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,534,-0.0005551300996627945,1.434994483452577,3070.8683750054774,1535.4336409153082,820.4361161060822,4.656283378601074,1.0003129851359587,1240000,439,61,2319.2443170547485,0.011966666666666667,0.0,6.666666666666667e-05,48.171475727541356,0.22,0.75,1603.8312548647193,2182.73
62,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,532,-0.000950566898040378,1.3883276109512035,7667.0183522151065,3833.5082141778407,1925.0997213510366,-3.062811851501465,0.9996718276769687,1260000,450,62,2366.070422887802,0.015933333333333334,0.0,6.666666666666667e-05,48.66386606359593,0.11,0.84,1537.6719428846864,2016.71
63,C:\Users\acryI\Desktop\cs260r-assignment-2023fall\assignment4\data\ppo,529,-0.0004746652745570128,1.3642840198981456,15700.36360489283,7850.181363462791,4128.853830425556,-16.288341522216797,0.9994658160668153,1280000,465,63,2416.906261444092,0.0321,0.0,0.00013333333333333334,49.42454139030352,0.01,0.9,1314.1701880460394,1790.97
